"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
":4","Commentary on James","Commentaire sur Jacques","","False","","",""
":8","Convention video","Vidéo de l'assemblée","","False",":8","",""
":12","Introduction to God’s Word","Introduction à la Parole de Dieu","","False",":12","",""
":16","Morning Worship","Culte matinal","","False","","",""
":20","Shepherd (ks)","Paître (ks)","","False","","",""
":24","Our Ministry","Notre ministère","","False","","",""
":28","Original song video","Vidéo de chanson originale","","False",":28","",""
":32","Children's song video","Vidéo de chanson pour enfants","","False",":32","",""
":36","Qualified","Qualifiés","","False","","",""
":40","Addendum","Addendum","","False","","",""
":44","Worldwide Security","Sécurité universelle","","False","","",""
":48","Commentary on the Letter of James","Commentaire sur la lettre de Jacques","","False","","",""
":52","Convention video","Vidéo de l'assemblée","","False",":52","",""
":56","Introduction to God’s Word","Introduction à la Parole de Dieu","","False",":56","",""
":60","Morning Worship video","Vidéo du Culte matinal","","False","","",""
":64","""Shepherd the Flock of God"" (ks)","« Paître le troupeau de Dieu » (ks)","","False","","",""
":68","Organized to Accomplish Our Ministry","Organisés pour bien remplir notre ministère","","False","","",""
":72","Original song video","Vidéo de la chanson originale","","False",":72","",""
":76","Children's song video","Vidéo de chanson pour enfants","","False",":76","",""
":80","Qualified to Be Ministers","Qualifiés pour le ministère","","False","","",""
":84","Addendum to ""Shepherd the Flock of God""","Addendum à « Paître le troupeau de Dieu »","","False","","",""
":88","Worldwide Security Under the “Prince of Peace”","Sécurité universelle sous le Règne du « Prince de paix »","","False","","",""
":91","How to Use ""Enjoy Life"" in the Ministry","Comment utiliser « Vivez pour toujours » dans le ministère","","False","","",""
